yaer,class,group,yellow,white
2019,1,1,646,231
2019,1,2,643,215
2019,1,3,540,180
2019,1,4,577,218
2019,1,5,506,169
2019,1,6,563,214
2019,1,7,628,228
2019,1,8,550,210
2019,1,9,618,150
2019,1,10,578,216
2019,2,1,780,170
2019,2,2,603,219
2019,2,3,684,200
2019,2,4,504,210
2019,2,5,646,198
2019,2,6,573,188
2019,2,7,695,216
2019,2,8,667,190
2019,2,9,575,191
2019,2,10,719,191
2019,3,1,567,165
2019,3,2,507,184
2019,3,3,658,210
2019,3,4,561,187
2019,3,5,586,202
2019,3,6,567,186
2019,3,7,566,187
2019,3,8,600,222
2019,3,9,665,214
2019,3,10,570,182
2019,4,1,518,235
2019,4,2,522,234
2019,4,3,642,223
2019,4,4,625,199
2019,4,5,627,217
2019,4,6,682,241
2019,4,7,617,171
2019,4,8,602,211
2019,4,9,570,209
2019,4,10,587,208
2019,5,1,584,224
2019,5,2,528,185
2019,5,3,565,184
2019,5,4,614,168
2019,5,5,600,191
2019,5,6,594,190
2019,5,7,710,222
2019,5,8,674,207
2019,5,9,661,208
2019,5,10,549,203
2019,6,1,605,224
2019,6,2,663,176
2019,6,3,583,235
2019,6,4,668,203
2019,6,5,550,221
2019,6,6,521,191
2019,6,7,636,219
2019,6,8,704,220
2019,6,9,583,214
2019,6,10,648,174
2019,7,1,622,244
2019,7,2,579,221
2019,7,3,534,159
2019,7,4,690,187
2019,7,5,624,203
2019,7,6,571,196
2019,7,7,629,221
2019,7,8,684,243
2019,7,9,737,183
2019,7,10,660,212
